Listado de productos que mas cantidades compraron ordenados de mayor a menor
Producto,Codigo,Cantidad
LEUCOVORINA FILAXIS 50 IY 1,033840110,28.0
ADRIBLASTINA DR 10 FRA1,021470010,28.0
CICLOFOSFAMIDA FILAXIS 200 AA 5,036780610,28.0
GENOTROPIN 16 UI CAR1,600190200,28.0
SANDIMMUN 100 NEORAL CP 50,031170410,28.0
ZAVEDOS 10 IY 1,003118371,28.0
MAP AN 500 CP 20,030007010,27.0
TONAVIR 40 MG CAPS x 60,0090210001,27.0
FILGASTRIM 30 X 1,FILGAS0001,26.0
EPREX 4000 FRA1,030893320,26.0
BICAPROST CM 30,041852630,26.0
FORTOVASE 200 CP 270,040857710,26.0
NEUTROMAX 300 FRA1,040018510,26.0
DICLADOX 10 IY 1,036355710,26.0
DECADRON FRA1,006745600,25.0
BACTRIM FTE CM 10,027480320,25.0
SANDIMMUN 25 NEORAL CP 50,031169710,24.0
BIOFERON HEPAKIT 1200 KIT1,045700310,24.0
ZIAGENAVIR 300 CM 60,045498410,24.0
METOTREXATO FILAXIS 50 IY 1,035858210,24.0
FLUCONAZOL RICHET 150 MG x 2 COMP,FLUCO0001,24.0
AMIZIDE 100 MG FA,AMI0001,24.0
FLEBOGAMMA GRIFOLS IV 5 FRA100,004005810,24.0
AVIROSTAT 4.5 MUI,AVIRO0001,24.0
ETOPOSIDO 100 MG X 1 AMP,ETO0001,24.0
STAMAR 30 CP 60,042147010,23.0
PANATAXEL 30 X 1FCO,PANATAXEL0001,23.0
LEUMOSTIN LIOF 34 MUI X 5,LEU1,23.0
VINBLASTINA FILAXIS 10 IY 1,032819710,22.0
DROXIUREA CP 50,036696510,22.0
LARMADEX JER IY 3.6,041609110,22.0
HIDROXIUREA MARTIAN 500 CP 100,041347730,22.0
ROFERON A 6 M FRA1,042233710,22.0
FTDA 250 CM 60,029610410,21.0
TAXOTERE 20 FRA1,040759510,21.0
DELTISONA 4 CM 20,005173040,21.0
METOTREXATO MARTIAN 500 FRA1,000314542,21.0
FLAVICINA LIOF 10 IY 1,030016110,20.0
DOCETAXEL 80,DOCET0001,20.0
EPIDOXORUBICINA 50,EPIDO0001,20.0
STAVUDINA 40,STAV0001,20.0
ZIDOVUDINE 100 CP 100,033054810,20.0
HIDROXIUREA FILAXIS 500 CP 100,036306020,20.0
LEUCOVORINA FILAXIS 15 CM 10,036868010,20.0
CEADON 20 X 30,CEADON0001,19.0
ENDOXAN 50 GR 30,004460220,19.0
INTRON A 25 M FRA1,037984320,19.0
PARLODEL 2.5 CM 30,023737230,18.0
COMBIVENT COMPL AE 10,039672210,18.0
SOLU MEDROL 500 FRA1,026070310,18.0
MUFORAN IY 1,003646461,18.0
GEMTRO 200 FRA1,040606810,18.0
IFOSFAMIDA MICROSULES 1 GR FA,IFO0001,18.0
RILUTEK 50 CM 60,041451610,17.0
LAMIVUDINA 150,LAMIV0001,16.0
DELTISONA 40 CM 20,017682720,16.0
PROGLICEM 100 CP 50,029976010,16.0
GOSERELIN,GOSE0001,16.0
FLUDARA IY 5,039012010,16.0
CIPRO 500 CM 10,030467610,16.0
ZAVEDOS 5 IY 1,031182910,16.0
MESNA SERONO 200 AA 10,039874410,16.0
CISPLATINO 50 MG FA,CIS0001,16.0
PURFILX FILAXIS 50 CM 50,003866510,15.0
CARBOPLATINO RAFFO 150 FRA1,031131610,15.0
TOMUDEX FRA1,044128810,15.0
TAURAL 300 CM 30,028544620,15.0
ARIMIDEX CM 28,041891410,14.0
BLOCAMICINA FRA1,016093710,14.0
SUPREFACT DEPOT IY 2,036830910,14.0
FLUTAMIDA 250 X 60,FLUT0001,14.0
CLITAXEL 150 FRA1,037523910,14.0
DACARBAZINA FILAXIS 200 FRA1,036667610,14.0
SPIROCORT 400 DS 200,037871210,13.0
METOTREXATO LEDERLE 2.5 CM 100,005729130,12.0
ACICLOVIR FILAXIS 800 X 20,ACICLOVIR0001,12.0
URSOFALK CP 30,042578710,12.0
DECADRON AL IY 2,015919610,12.0
CARBOPLAT 150 IY 1,030827210,12.0
OLTER 250 CM 50,030854510,12.0
IFOSMIXAN 1 FRA1,004019510,12.0
ETOPOSIDO FILAXIS 100 IY 1,032818910,12.0
CISPLATINO RAFFO 10 FRA1,031145710,12.0
IFX 2 IY 1,031705910,12.0
CITARABINA MARTIAN 100 FRA1,041098610,12.0
L-ASPARAGINASA FILAXIS 10000 FRA1,035911810,12.0
HIDROXIUREA MARTIAN 500 CP 20,600228960,11.0
DELTISONA 8 CM 20,005208520,10.0
DESMOPRESIN 0.2 CM 30,038979330,10.0
CYMEVENE 250 CP 84,405581100,10.0
ADRIBLASTINA DR 50 FRA1,026994510,10.0
DAMIXA CM 30,020504820,10.0
CREON CP 20,035495210,10.0
utrogestan 100 cp x 30,031985710,10.0
GROWGEN GM 300 MCG FA LIOF,GROWGEN,10.0
PEROXIMICINA GEL20,039467710,10.0
DIDANOSINA MARTIAN 100 MG X 60 COMP,DIDA0001,10.0
AZT FILAXIS 100 CP 100,032817110,10.0
GROWGEN GM 400 IY 1,040280010,10.0
UFT CP 120,004233220,9.0
MAXIMITON 20 MG,MAXI0001,9.0
SUPRADYN MAG CME30,039776220,9.0
NEFOBEN 300 CM 30,029572630,9.0
REBETRON 1200/PAK3 KIT1,045210210,9.0
ZERIT 30 CP 60,039662310,9.0
CARBOPLATINO MARTIAN 150 FRA1,034713910,9.0
MILTEX SL 10,043325110,8.0
PIDOXORUBICINA 50,EPIDO0001,8.0
AGEROPLAS 1 FRA1,040145610,8.0
nEUPOGEN 30 M JER PRELL FRA1,041452410,8.0
CASODEX CM 28,004047490,8.0
NOLVADEX D CM 30,028752530,8.0
ESTAPROL CP 60,031034220,8.0
AMOXIDAL 500 CP 16,021242320,8.0
PARACETAMOL RAFFO 500 CM 20,028471120,8.0
ZAVEDOS 5 CP 1,031179610,8.0
OXALIPLATINO DELTA FARMA 50 FRA1,044190710,8.0
OXALIPLATINO DELTA FARMA 100 FRA1,044191510,8.0
ETOPOSIDO ELVETIUM 100 IY 1,039639210,8.0
ESTRACYT CP 100,037137820,8.0
SANDOSTATIN 0.05 AA 5,031857810,8.0
SANDOSTATIN 0.10 AA 5,031858610,8.0
ZOFRAN 4 IY 1,031675410,8.0
METOTREXATO LEDERLE 50 FRA1,005651610,7.0
INF 5 MILL. UI INY,INF00020001,7.0
HIDROXIUREA ASOFARMA 500 CP 100,035668510,6.0
REBIF 22 JER/PRELL IY 12,045495010,6.0
HYCAMTIN FRA5,042522410,6.0
ddi martian,DDI0001,6.0
FARMORUBICIN DR 50 IY 1,002918651,6.0
RITONAVIR CP 168,041076210,6.0
DOXORUBICINA RAFFO 50 IY 1,031516010,6.0
VUMON IV AA 10,026447410,6.0
OPTAMOX 1 CM 12,038046030,6.0
CARBOPLATINO 50 MG,MONO000050001,6.0
GINARSAN FTE 20 CM 30,031388310,6.0
CIPROTERONA MICROSULES 50 MG,CIPROT0001,6.0
MUTUM 100 CM 15,031283530,6.0
CICLOFOSFAMIDA FILAXIS 50 GR 30,036802810,6.0
CITODOX 50 CP 20,031553210,6.0
L-ASP 10000 UI INY,13276,6.0
ONDANSETRON FILAXIS 8 AA 1,036504010,6.0
FORTOVASE NF 200 MG X 180 CAPS,0001,6.0
MITOTIE 5 MG FA,MITO0001,6.0
VELBE 10 FRA1,015372610,6.0
ALBICAR AB 30,028254130,5.0
POTEKAM 4 MG X 5 AMP,POT0001,5.0
APOKINON 30 IY 1,042576110,5.0
ASOTAX 150,ASO0001,4.0
PACLITAXEL 150,PACLI0001,4.0
FARESTON CM 30,042265020,4.0
CRISAFENO 10 CM 30,031393210,4.0
RECORMON N 2000 AA 3,043231010,4.0
ANDROCUR 100 CM 30,043126310,4.0
dESMOPRESIN INTRANASAL SL 2.5,038982610,4.0
ESTRAMUSTINA FILAXIS 140 CM 100,040209010,4.0
TANVIMIL E CP 20,008679510,4.0
OPTAMOX 1 CM 6,038046010,4.0
SPORANOX CP 15,030569020,4.0
SOLUTRAT 300 CM 30,034507610,4.0
NEUTROMAX 300 FRA8,040018540,4.0
DESMOPRESIN INTRANASAL SL 2.5,038982610,4.0
PLATINOL 50 IY 1,026616510,4.0
AMSUPROS 140 CP 100,039350460,4.0
MITOXANTRONA FILAXIS 25 IY 1,035597610,4.0
DESMOPRESIN NASAL SP 5,003898180,4.0
GENOXAL 50 GR 50,043309510,4.0
CRONOCORTEROID IY 1,033678610,4.0
SPORANOX PULSO CP 28,030569030,4.0
DESMOPRESIN 0.2 CM 90,038979310,4.0
ONDANSETRON MARTIAN 8 CM 10,034326010,4.0
TAVANIC 500 CM 7,043518210,4.0
ZERIT 40 CP 60,039663110,4.0
LEUKERAN 5 CM 25,007436010,4.0
FLUOROURACILO LABINCA 500 AA 5,031043310,4.0
DAUNOBLASTINA IY 1,002314310,4.0
SANDIMMUN 50 AA 10,029521310,4.0
LEUCOMAX 300 IY 1,035593410,4.0
FLUTAMIDA MARTIAN 250 CM 60,033674410,4.0
RETROVIR 100 CP 100,030878510,4.0
FINOXI 8 AA 1,035810210,3.0
COMBIVENT SM X20 SL 2.5,041079610,3.0
OXIS 9 DS 60,043007510,3.0
ALPLAX 0.5 CM 60,032143070,3.0
ZOLADEX DEPOT IY 1,031985710,3.0
TRIAL SAT 0.050 8,030597110,3.0
MESNA 400 AA 15,031708310,3.0
DELTISONA 4 CM 10,005173020,3.0
XELODA 500 CM 120,044630310,3.0
TONAVIR 30 MG CAPS x 60,0090020,3.0
B C G CULTIVO SSI,0009567-9,3.0
ASOTECAN 4 MG X 5 FA,52203,3.0
ASOTECAN 4 MG X 1 FA,52151,3.0
AMINOMUX AMP,029870410,3.0
DOXETAL 80 INY FCO,DOXETAL0001,2.0
D4T,D4T0001,2.0
LEUSTATIN 10 FRA7,600188350,2.0
AMFOSTINA X 3 AMP,AMFOS0001,2.0
DEXAMERAL MARTIAN 4 CM 20,043115620,2.0
NORADRENALINA BIOL AA 10,004535800,2.0
ORIMETEN 250 CM 120,028402610,2.0
ACIFOL 5 CM 30,039784510,2.0
ZOLADEX LA DEPOT IY 1,041124910,2.0
DERMAGLOS EM 400,027043930,2.0
OXAGESIC CM 15,000203040,2.0
DUO DECADRON IY 2,017328710,2.0
DEXA TEOSONA CM 20,028081810,2.0
CRONOLEVEL C/JER IY 2,029192240,2.0
FOSAMAX 10 CM 28,039569120,2.0
ACEMUK 200 CME20,600221770,2.0
ENDOXAN 200 AA 6,022430320,2.0
NATULAN 50 CP 50,008917910,2.0
FEMARA 2.5 CM 30,043478810,2.0
MESNA 200 AA 15,031707510,2.0
LADOGAL 100 CP 30,024184410,2.0
PURINETHOL CM 25,007440110,2.0
LADOGAL 200 CP 100,026147020,2.0
UFT CP 28,042363210,2.0
STOCRIN 200 CP 90,044922420,2.0
MYLANTA MAX CM 20,037574210,2.0
RITONAVIR SL 240,041075410,2.0
OXAGESIC CM 30,000203030,2.0
GENOXAL 1 FRA1,043312810,2.0
ESTAPROL CP 30,031034210,2.0
VINCES FRA1,030390910,2.0
MESNEX 400 TB 10,043695810,2.0
ASODOCEL 80 MG FA,ASO0003,2.0
VIDEX 100 TB 60,033826110,2.0
TEMODAL 250 MG X 5 CAPS,TEMO0001,2.0
DIEMON 10 CM 30,031330410,2.0
SYNAGIS FA X 1,SYN0001,2.0
CONTROL K CP 50,027754220,2.0
VALTREX CM 42,040554930,2.0
ZERIT 20 CP 60,039661510,2.0
ZERIT 15 CP 60,039660710,2.0
ALKERANA 5 CM 25,007428710,2.0
DANTENK 8 FRA1,037331610,1.0
AZATIOPRINA ASOFARMA 50 CM 100,033436810,1.0
BAYA C SO 12,600063720,1.0
RAFFO CA 500 CME20,038990910,1.0
ALDACTONE A 100 CM 30,020300020,1.0
TRIAL SAT 0.025 8,030596310,1.0
map an 500,033933410,1.0
lupron 3.75,030007010,1.0
ACEMUK 200 CME50,600221780,1.0
UROMITEXAN 200 AA 10,027405120,1.0
CEFUROX 250 SS 70,045016420,1.0
SPORANOX CP 4,030569010,1.0
SPORANOX 10 SL 150,042485410,1.0
CETRON 4 COMP X 10,CET0001,1.0
ALDAZIDA 100 CM 30,025674430,1.0
CYCRIN 5 CM 28,042026610,1.0
TRIAL SAT LA 0.050 4,039087320,1.0
ATROVENT SL 40,033883120,1.0
